Nr,Source,Pages
S1,"basic psychological needs for autonomy, competence, and relatedness, as satisfactions essential to thriving.",p. 9
S2,"Whereas more internalized and thus autonomous motivations predict greater persistence, performance, and wellness, more controlled motives (i.e., introjection, external regulation) have less positive and sometimes even negative effects on outcomes. In light of these findings, OIT stresses that it is the type or source rather than the quantity of motivation that matters most (Vansteenkiste et al., 2018).",p. 14
S3,"Proposition 1 Environmental events vary in how autonomy-supportive or controlling they are. The more controlling the event is perceived to be, the more likely it is to decrease autonomy and intrinsic motivation. The more noncontrolling and autonomy-supportive the event is perceived to be, the more likely it is to increase autonomy and maintain or enhance intrinsic motivation.",p. 35
S4,"Proposition 2 Environmental events vary in how informational they are. The more the event communicates effectance information, the more likely it is to increase competence and intrinsic motivation. The more the event communicates ineffectance information, the more likely it is to decrease competence, decrease intrinsic motivation, and increase amotivation.",p. 35
S5,"Proposition 3 Environmental events have three aspects, each of which has a functional significance: a controlling aspect, an informational aspect, and an amotivating aspect. The relative salience of these three aspects determines the event’s functional significance and hence its effects on psychological needs and intrinsic motivation. Relatively controlling events decrease autonomy and intrinsic motivation; relatively informational events increase autonomy, competence, and intrinsic motivation; and relatively amotivating events decrease competence and intrinsic motivation.",p. 35
S6,"Proposition 4 Social contexts vary regarding how autonomy-supportive, controlling, and amotivating they are. Autonomy-supportive contexts support autonomy, competence, and intrinsic motivation. Controlling and amotivating contexts diminish autonomy, competence, and intrinsic motivation.",p. 35
S7,"Proposition 5 Intrapersonal events vary regarding how autonomy-supportive, controlling, and amotivating they are. Autonomy-supportive internal events support autonomy, competence, and intrinsic motivation. Controlling and amotivating internal events diminish autonomy, competence, and intrinsic motivation.",p. 35
S8,"These intrinsic propensities toward growth are maintained and supported by satisfactions of autonomy, competence, and relatedness satisfaction.",p. 36
S9,"Events affect intrinsic motivation because they first affect the person’s psychological needs, especially those for autonomy and competence (Deci & Ryan, 1980).",p. 36
S10,Figure 2.1 Generic CET mediation model to explain how any external event can be expected to affect intrinsic motivation,p. 39
S11,Table 2.2,p. 42
S12,Figure 2.3,p. 45
